Year	Month	Day	Hour	Min	Sec	s1	s2	s3
2002	3	25	0	0	0	0.762	0	2.54
2002	3	26	0	0	0	0	0	12.7
2002	3	27	0	0	0	0	0	22.86
2002	3	28	0	0	0	0	0	12.7
2002	3	29	0	0	0	0	0	10.16
2002	3	30	0	0	0	0	0	5.08
2002	3	31	0	0	0	0.762	0	0
2002	4	1	0	0	0	0.762	0	25.4
2002	4	2	0	0	0	0	0	0
2002	4	3	0	0	0	0	0	0
2002	4	4	0	0	0	0	0	2.54
2002	4	5	0	0	0	0	0.762	10.16
2002	4	6	0	0	0	0.508	0	7.62
2002	4	7	0	0	0	0	0	12.7
2002	4	8	0	0	0	0	1.778	0
2002	4	9	0	0	0	1.524	7.874	0
2002	4	10	0	0	0	0.508	0.508	5.08
2002	4	11	0	0	0	0.508	3.048	0
2002	4	12	0	0	0	1.27	1.016	5.08
2002	4	13	0	0	0	8.89	8.89	12.7
2002	4	14	0	0	0	0.254	0	7.62
2002	4	15	0	0	0	0	1.016	0
2002	4	16	0	0	0	0.508	0.508	0
2002	4	17	0	0	0	0	0	7.62
2002	4	18	0	0	0	0	0	7.62
2002	4	19	0	0	0	0	0	10.16
2002	4	20	0	0	0	0.254	0	0
2002	4	21	0	0	0	1.778	0	0
2002	4	22	0	0	0	0	0	0
2002	4	23	0	0	0	0.762	0.762	17.78
2002	4	24	0	0	0	0	0	5.08
2002	4	25	0	0	0	0	0	0
2002	4	26	0	0	0	0	0.762	15.24
2002	4	27	0	0	0	0	0	0
2002	4	28	0	0	0	0	0	0
2002	4	29	0	0	0	0	0	0
2002	4	30	0	0	0	0	0	12.7
2002	5	1	0	0	0	0	0	5.08
2002	5	2	0	0	0	0.254	0	5.08
2002	5	3	0	0	0	0.254	0	0
2002	5	4	0	0	0	2.54	6.096	0
2002	5	5	0	0	0	0.762	1.778	10.16
2002	5	6	0	0	0	1.27	3.048	5.08
2002	5	7	0	0	0	1.27	0	38.1
2002	5	8	0	0	0	0	0	12.7
2002	5	9	0	0	0	0	0	2.54
2002	5	10	0	0	0	0.762	0	0
2002	5	11	0	0	0	0	0	2.54
2002	5	12	0	0	0	0	0	0
2002	5	13	0	0	0	0	0	5.08
2002	5	14	0	0	0	0	0	5.08
2002	5	15	0	0	0	0	0	0
2002	5	16	0	0	0	1.016	1.778	0
2002	5	17	0	0	0	0	0.254	0
2002	5	18	0	0	0	0.762	1.27	0
2002	5	19	0	0	0	0.508	0	5.08
2002	5	20	0	0	0	7.62	0.254	0
2002	5	21	0	0	0	24.384	1.27	15.24
2002	5	22	0	0	0	9.398	10.16	22.86
2002	5	23	0	0	0	0	0	2.54
2002	5	24	0	0	0	0.508	0.254	0
2002	5	25	0	0	0	2.286	1.27	2.54
2002	5	26	0	0	0	5.334	0	2.54
2002	5	27	0	0	0	0.508	2.54	0
2002	5	28	0	0	0	3.81	0.254	2.54
2002	5	29	0	0	0	0	0	0
2002	5	30	0	0	0	0	0	0
2002	5	31	0	0	0	0	0	0
2002	6	1	0	0	0	1.778	0	5.08
2002	6	2	0	0	0	5.842	0.762	2.54
2002	6	3	0	0	0	0	0	0
2002	6	4	0	0	0	0.762	0	2.54
2002	6	5	0	0	0	0.254	0	0
2002	6	6	0	0	0	0	0	0
2002	6	7	0	0	0	6.096	2.54	7.62
2002	6	8	0	0	0	3.302	4.318	68.58
2002	6	9	0	0	0	1.524	14.986	60.96
2002	6	10	0	0	0	0	0	53.34
2002	6	11	0	0	0	0.254	0	43.18
2002	6	12	0	0	0	0	0	0
